date,storage,inflow,outflow,evaporation,elevation
1969-12-01,4.677,2.633,3.171,NA,1709.166
1969-12-02,4.677,3.176,3.171,NA,1709.166
1969-12-03,4.529,0.669,2.379,NA,1709.075
1969-12-04,NA,NA,1.586,NA,NA
1969-12-05,4.727,NA,1.586,NA,1709.196
1969-12-06,NA,NA,1.586,NA,NA
1969-12-07,NA,NA,1.586,NA,NA
1969-12-08,4.977,NA,1.586,NA,1709.349
1969-12-09,5.028,1.38,0.793,NA,1709.379
1969-12-10,5.231,2.357,0,NA,1709.501
1969-12-11,5.647,4.812,0,NA,1709.745
1969-12-12,6.127,5.555,0,NA,1710.019
1969-12-13,NA,NA,0,NA,NA
1969-12-14,NA,NA,0,NA,NA
1969-12-15,7.928,NA,0,NA,1710.995
1969-12-16,8.341,4.783,0,NA,1711.208
1969-12-17,8.826,5.611,0,NA,1711.452
1969-12-18,9.513,7.952,0,NA,1711.787
1969-12-19,9.964,5.225,0,NA,1712.001
1969-12-20,NA,NA,0,NA,NA
1969-12-21,NA,NA,0,NA,NA
1969-12-22,12.054,NA,0,NA,1712.915
1969-12-23,12.726,7.781,0,NA,1713.189
1969-12-24,13.417,7.996,0,NA,1713.464
1969-12-25,NA,NA,0,NA,NA
1969-12-26,NA,NA,0,NA,NA
1969-12-27,NA,NA,0,NA,NA
1969-12-28,NA,NA,0,NA,NA
1969-12-29,15.601,NA,0,NA,1714.287
1969-12-30,15.685,0.972,0,NA,1714.317
1969-12-31,NA,NA,0,NA,NA
1970-01-01,NA,NA,0,NA,NA
1970-01-02,16.193,NA,0,NA,1714.5
1970-01-03,NA,NA,0,NA,NA
1970-01-04,NA,NA,0,NA,NA
1970-01-05,16.883,NA,0,NA,1714.744
1970-01-06,17.057,2.015,0,NA,1714.805
1970-01-07,17.232,2.03,0,NA,1714.866
1970-01-08,17.496,3.058,0,NA,1714.957
1970-01-09,17.673,2.058,0,NA,1715.018
1970-01-10,NA,NA,0,NA,NA
1970-01-11,NA,NA,0,NA,NA
1970-01-12,18.751,NA,0,NA,1715.384
1970-01-13,19.301,6.37,0,NA,1715.567
1970-01-14,19.859,6.456,0,NA,1715.75
1970-01-15,20.234,4.598,0.255,NA,1715.872
1970-01-16,20.899,7.953,0.255,NA,1716.085
1970-01-17,NA,NA,0.255,NA,NA
1970-01-18,NA,NA,0.255,NA,NA
1970-01-19,22.851,NA,0.085,NA,1716.695
1970-01-20,23.353,5.899,0.085,NA,1716.847
1970-01-21,24.064,8.284,0.057,NA,1717.06
1970-01-22,24.681,7.199,0.057,NA,1717.243
1970-01-23,25.516,9.697,0.028,NA,1717.487
1970-01-24,NA,NA,0.028,NA,NA
1970-01-25,NA,NA,0.028,NA,NA
1970-01-26,27.778,NA,0.042,NA,1718.127
1970-01-27,28.332,6.443,0.028,NA,1718.28
1970-01-28,29.003,7.799,0.028,NA,1718.462
1970-01-29,29.682,7.899,0.028,NA,1718.645
1970-01-30,30.255,6.657,0.028,NA,1718.798
1970-01-31,NA,NA,0.028,NA,NA
1970-02-01,NA,NA,0.028,NA,NA
1970-02-02,NA,NA,0.028,NA,NA
1970-02-03,32.6,NA,0.028,NA,1719.407
1970-02-04,33.199,6.971,0.028,NA,1719.56
1970-02-05,33.926,8.442,0.028,NA,1719.743
1970-02-06,34.414,5.687,0.028,NA,1719.864
1970-02-07,NA,NA,0.028,NA,NA
1970-02-08,NA,NA,0.028,NA,NA
1970-02-09,36.532,NA,0.028,NA,1720.383
1970-02-10,37.167,7.386,0.028,NA,1720.535
1970-02-11,37.552,4.488,0.028,NA,1720.626
1970-02-12,37.81,3.017,0.028,NA,1720.687
1970-02-13,38.457,7.529,0.028,NA,1720.84
1970-02-14,39.244,9.142,0.028,NA,1721.023
1970-02-15,39.91,7.743,0.028,NA,1721.175
1970-02-16,40.722,9.428,0.028,NA,1721.358
1970-02-17,41.27,6.372,0.028,NA,1721.48
1970-02-18,41.824,6.444,0.028,NA,1721.602
1970-02-19,42.384,6.515,0.028,NA,1721.724
1970-02-20,43.093,8.243,0.028,NA,1721.876
1970-02-21,NA,NA,0.028,NA,NA
1970-02-22,NA,NA,0.028,NA,NA
1970-02-23,44.976,NA,0.028,NA,1722.272
1970-02-24,45.567,6.872,0.028,NA,1722.394
1970-02-25,46.163,6.93,0.028,NA,1722.516
1970-02-26,46.915,8.743,0.028,NA,1722.669
1970-02-27,47.521,7.044,0.028,NA,1722.791
1970-02-28,NA,NA,0.028,NA,NA
1970-03-01,48.763,NA,0.028,NA,1723.037
1970-03-02,49.444,7.915,0.028,NA,1723.172
1970-03-03,50.067,7.244,0.028,NA,1723.293
1970-03-04,50.631,6.559,0.028,NA,1723.403
1970-03-05,51.103,5.502,0.028,NA,1723.495
1970-03-06,51.577,5.516,0.028,NA,1723.586
1970-03-07,NA,NA,0.028,NA,NA
1970-03-08,52.672,NA,0.028,NA,1723.796
1970-03-09,53.231,6.502,0.028,NA,1723.903
1970-03-10,53.857,7.287,0.028,NA,1724.022
1970-03-11,54.454,7.341,0.425,NA,1724.135
1970-03-12,54.956,5.845,0.028,NA,1724.229
1970-03-13,55.512,6.459,0.028,NA,1724.333
1970-03-14,NA,NA,0.028,NA,NA
1970-03-15,56.645,NA,0.028,NA,1724.543
1970-03-16,57.109,5.407,0.028,NA,1724.629
1970-03-17,57.824,8.339,0.042,NA,1724.76
1970-03-18,58.426,7.016,0.028,NA,1724.869
1970-03-19,58.948,6.094,0.028,NA,1724.964
1970-03-20,59.488,6.313,0.028,NA,1725.061
1970-03-21,NA,NA,0.028,NA,NA
1970-03-22,60.629,NA,0.028,NA,1725.266
1970-03-23,61.194,6.614,0.028,NA,1725.366
1970-03-24,61.573,4.464,0.028,NA,1725.433
1970-03-25,62.039,5.483,0.028,NA,1725.515
1970-03-26,62.525,5.717,0.028,NA,1725.601
1970-03-27,63.152,7.35,0.028,NA,1725.711
1970-03-28,63.554,4.757,0.028,NA,1725.781
1970-03-29,64.152,7.033,0.028,NA,1725.884
1970-03-30,64.681,6.239,0.028,NA,1725.976
1970-03-31,65.001,3.818,0.028,NA,1726.031
1970-04-01,NA,NA,NA,NA,NA
1970-04-02,NA,NA,NA,NA,NA
1970-04-03,NA,NA,NA,NA,NA
1970-04-04,NA,NA,NA,NA,NA
1970-04-05,NA,NA,NA,NA,NA
1970-04-06,NA,NA,NA,NA,NA
1970-04-07,NA,NA,NA,NA,NA
1970-04-08,NA,NA,NA,NA,NA
1970-04-09,NA,NA,NA,NA,NA
1970-04-10,NA,NA,NA,NA,NA
1970-04-11,NA,NA,NA,NA,NA
1970-04-12,NA,NA,NA,NA,NA
1970-04-13,NA,NA,NA,NA,NA
1970-04-14,NA,NA,NA,NA,NA
1970-04-15,NA,NA,NA,NA,NA
1970-04-16,NA,NA,NA,NA,NA
1970-04-17,NA,NA,NA,NA,NA
1970-04-18,NA,NA,NA,NA,NA
1970-04-19,NA,NA,NA,NA,NA
1970-04-20,NA,NA,NA,NA,NA
1970-04-21,NA,NA,NA,NA,NA
1970-04-22,NA,NA,NA,NA,NA
1970-04-23,NA,NA,NA,NA,NA
1970-04-24,NA,NA,NA,NA,NA
1970-04-25,NA,NA,NA,NA,NA
1970-04-26,NA,NA,NA,NA,NA
1970-04-27,NA,NA,NA,NA,NA
1970-04-28,NA,NA,NA,NA,NA
1970-04-29,NA,NA,NA,NA,NA
1970-04-30,NA,NA,NA,NA,NA
1970-05-01,NA,NA,NA,NA,NA
1970-05-02,NA,NA,NA,NA,NA
1970-05-03,NA,NA,NA,NA,NA
1970-05-04,NA,NA,NA,NA,NA
1970-05-05,NA,NA,NA,NA,NA
1970-05-06,NA,NA,NA,NA,NA
1970-05-07,NA,NA,NA,NA,NA
1970-05-08,NA,NA,NA,NA,NA
1970-05-09,NA,NA,NA,NA,NA
1970-05-10,NA,NA,NA,NA,NA
1970-05-11,NA,NA,NA,NA,NA
1970-05-12,NA,NA,NA,NA,NA
1970-05-13,NA,NA,NA,NA,NA
1970-05-14,NA,NA,NA,NA,NA
1970-05-15,NA,NA,NA,NA,NA
1970-05-16,NA,NA,NA,NA,NA
1970-05-17,NA,NA,NA,NA,NA
1970-05-18,NA,NA,NA,NA,NA
1970-05-19,NA,NA,NA,NA,NA
